,Name,Categories,Average Price Per Person,Address,Google Link
0,Chai Sutta Bar ,Affordable,100-150,"Laxmi Nagar , Sadar",https://www.google.com/search?q=chai+sutta+bar+nagpur&sxsrf=ALiCzsZ-71CgwQsFM8XNmlsNmlYO92G27Q%3A1672902590015&ei=vne2Y8VKoe-O4w_ayIKoBw&ved=0ahUKEwjFofzk76_8AhWht2MGHVqkAHUQ4dUDCA8&uact=5&oq=chai+sutta+bar+nagpur&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIKCC4QrwEQxwEQJzIFCAAQgAQyCwguEIAEEMcBEK8BMgUIABCABDIFCAAQgAQyBggAEBYQHjIFCAAQhgMyBQgAEIYDMgUIABCGAzIFCAAQhgM6CggAEEcQ1gQQsAM6BAgjECc6CggAEIAEEIcCEBRKBAhBGABKBAhGGABQ-ARYsgtgxQ1oAnABeACAAf4BiAG0CJIBBTAuMy4ymAEAoAEByAEGwAEB&sclient=gws-wiz-serp
0,Chai Sutta Bar ,Beverages,100-150,"Laxmi Nagar , Sadar",https://www.google.com/search?q=chai+sutta+bar+nagpur&sxsrf=ALiCzsZ-71CgwQsFM8XNmlsNmlYO92G27Q%3A1672902590015&ei=vne2Y8VKoe-O4w_ayIKoBw&ved=0ahUKEwjFofzk76_8AhWht2MGHVqkAHUQ4dUDCA8&uact=5&oq=chai+sutta+bar+nagpur&gs_lcp=Cgxnd3Mtd2l6LXNlcnAQAzIKCC4QrwEQxwEQJzIFCAAQgAQyCwguEIAEEMcBEK8BMgUIABCABDIFCAAQgAQyBggAEBYQHjIFCAAQhgMyBQgAEIYDMgUIABCGAzIFCAAQhgM6CggAEEcQ1gQQsAM6BAgjECc6CggAEIAEEIcCEBRKBAhBGABKBAhGGABQ-ARYsgtgxQ1oAnABeACAAf4BiAG0CJIBBTAuMy4ymAEAoAEByAEGwAEB&sclient=gws-wiz-serp
1,Chai Shai Bar,Affordable,100-150,Laxmi Nagar,https://www.google.com/search?sxsrf=ALiCzsaVy_YInDrvMXBrD1JebtyeRzY8GQ:1672902674075&q=chai+shai+bar+nagpur&spell=1&sa=X&ved=2ahUKEwil54aN8K_8AhXUwzgGHewpAh0QirwEKAB6BAgJEAE&biw=1440&bih=793&dpr=2
1,Chai Shai Bar,Beverages,100-150,Laxmi Nagar,https://www.google.com/search?sxsrf=ALiCzsaVy_YInDrvMXBrD1JebtyeRzY8GQ:1672902674075&q=chai+shai+bar+nagpur&spell=1&sa=X&ved=2ahUKEwil54aN8K_8AhXUwzgGHewpAh0QirwEKAB6BAgJEAE&biw=1440&bih=793&dpr=2
2,Shraddhas Dine,Affordable,100-150,Laxmi Nagar,https://www.google.com/search?sxsrf=ALiCzsaVy_YInDrvMXBrD1JebtyeRzY8GQ:1672902674075&q=chai+shai+bar+nagpur&spell=1&sa=X&ved=2ahUKEwil54aN8K_8AhXUwzgGHewpAh0QirwEKAB6BAgJEAE&biw=1440&bih=793&dpr=2
2,Shraddhas Dine,Mid Range,100-150,Laxmi Nagar,https://www.google.com/search?sxsrf=ALiCzsaVy_YInDrvMXBrD1JebtyeRzY8GQ:1672902674075&q=chai+shai+bar+nagpur&spell=1&sa=X&ved=2ahUKEwil54aN8K_8AhXUwzgGHewpAh0QirwEKAB6BAgJEAE&biw=1440&bih=793&dpr=2
2,Shraddhas Dine,Pure Veg,100-150,Laxmi Nagar,https://www.google.com/search?sxsrf=ALiCzsaVy_YInDrvMXBrD1JebtyeRzY8GQ:1672902674075&q=chai+shai+bar+nagpur&spell=1&sa=X&ved=2ahUKEwil54aN8K_8AhXUwzgGHewpAh0QirwEKAB6BAgJEAE&biw=1440&bih=793&dpr=2
2,Shraddhas Dine,Main Course,100-150,Laxmi Nagar,https://www.google.com/search?sxsrf=ALiCzsaVy_YInDrvMXBrD1JebtyeRzY8GQ:1672902674075&q=chai+shai+bar+nagpur&spell=1&sa=X&ved=2ahUKEwil54aN8K_8AhXUwzgGHewpAh0QirwEKAB6BAgJEAE&biw=1440&bih=793&dpr=2
3,The Sambar,Affordable,100-150,Laxmi nagar,https://www.google.com/search?gs_ssp=eJzj4tVP1zc0LDYzLbdIM082YLRSNagwTkoxSTZMSjE3SE1NsTQwtzKoMEwxtExJNTe2SExNNU4yN_ASLMlIVShOzE1KLFLIS0wvKC0CAP4PFhI&q=the+sambar+nagpur&oq=the+samb&aqs=chrome.0.46i20i175i199i263i512j0i131i433i512j69i57j46i175i199i512j0i512l2j46i175i199i512j0i512l3.2760j0j9&sourceid=chrome&ie=UTF-8
3,The Sambar,Good Ambiance,100-150,Laxmi nagar,https://www.google.com/search?gs_ssp=eJzj4tVP1zc0LDYzLbdIM082YLRSNagwTkoxSTZMSjE3SE1NsTQwtzKoMEwxtExJNTe2SExNNU4yN_ASLMlIVShOzE1KLFLIS0wvKC0CAP4PFhI&q=the+sambar+nagpur&oq=the+samb&aqs=chrome.0.46i20i175i199i263i512j0i131i433i512j69i57j46i175i199i512j0i512l2j46i175i199i512j0i512l3.2760j0j9&sourceid=chrome&ie=UTF-8
